OBJECTID,POA_CODE_2016,POA_NAME_2016,ActiveCases,Population,IRSD_Score,IRSD_Decile_VIC,IRSD_Perc_VIC,data_date,SHAPE_Length,SHAPE_Area
190,3213,3213,0,4033,1013,7,63,2021/01/30 00:00:00+00,0.924399031318291,0.0257380633386251
191,3214,3214,0,23964,802,1,1,2021/01/30 00:00:00+00,0.256212635494747,0.0027904734852151
192,3215,3215,0,20616,953,3,26,2021/01/30 00:00:00+00,0.214614201662627,0.00172930638342977
193,3216,3216,0,56284,1019,7,66,2021/01/30 00:00:00+00,0.381610499086653,0.00510753076340811
194,3217,3217,0,6607,1068,9,85,2021/01/30 00:00:00+00,0.686028061330504,0.013880153016758
195,3218,3218,0,13437,1007,6,58,2021/01/30 00:00:00+00,0.862361536809836,0.00934420460778738
196,3219,3219,0,19715,910,1,9,2021/01/30 00:00:00+00,0.176629932397061,0.00162225174650111
197,3220,3220,0,16353,1062,9,82,2021/01/30 00:00:00+00,0.218417428364413,0.00118562433816859
198,3221,3221,0,749,1098,10,92,2021/01/30 00:00:00+00,0.728387060019179,0.0114345228914703
199,3222,3222,0,14960,991,5,47,2021/01/30 00:00:00+00,0.723366670855557,0.0149345277945382
200,3223,3223,0,7397,947,3,22,2021/01/30 00:00:00+00,0.464934636085096,0.00738708127682904
201,3224,3224,0,14187,984,5,43,2021/01/30 00:00:00+00,0.431150697788112,0.00642952418409385
202,3225,3225,0,4058,1065,9,84,2021/01/30 00:00:00+00,0.69038870606968,0.00326443240768555
203,3226,3226,0,14165,1040,8,75,2021/01/30 00:00:00+00,0.269270467747209,0.00189760520670373
204,3227,3227,0,4819,1087,9,89,2021/01/30 00:00:00+00,0.560804143828752,0.00764464096351742
205,3228,3228,0,17939,1083,9,89,2021/01/30 00:00:00+00,0.587400008521523,0.0105872456479874
206,3230,3230,0,2545,1045,8,77,2021/01/30 00:00:00+00,0.493487139021352,0.00997778074931538
207,3231,3231,0,1256,1062,9,82,2021/01/30 00:00:00+00,0.472759572682932,0.00605529335438006
208,3232,3232,0,1114,1034,8,73,2021/01/30 00:00:00+00,0.536596199640905,0.0106055495440433
209,3233,3233,0,2030,977,4,39,2021/01/30 00:00:00+00,0.876829373510443,0.0193750790036477
210,3234,3234,0,181,1045,8,76,2021/01/30 00:00:00+00,0.765343524890462,0.0155759962904906
211,3235,3235,0,381,1058,9,81,2021/01/30 00:00:00+00,0.661848548850066,0.019648979032647
212,3236,3236,0,230,965,4,33,2021/01/30 00:00:00+00,0.603567078884884,0.00492682579646508
213,3237,3237,0,214,963,3,30,2021/01/30 00:00:00+00,1.70178491773019,0.0391435006644487
214,3238,3238,0,218,977,4,39,2021/01/30 00:00:00+00,1.21960788869243,0.0243015551231393
215,3239,3239,0,424,963,4,31,2021/01/30 00:00:00+00,1.74693050903743,0.0396620897386123
216,3240,3240,0,2021,1065,9,83,2021/01/30 00:00:00+00,0.863975714136934,0.0224513157114111
217,3241,3241,0,2566,955,3,27,2021/01/30 00:00:00+00,1.61924522363423,0.0638342429902255
218,3242,3242,0,828,1019,7,66,2021/01/30 00:00:00+00,0.879932682897191,0.0136381683852481
219,3243,3243,0,358,1045,8,77,2021/01/30 00:00:00+00,1.33742333894505,0.0265780987257053
220,3249,3249,0,3199,986,5,45,2021/01/30 00:00:00+00,4.02409323536047,0.128260238395554
221,3250,3250,0,12250,908,1,8,2021/01/30 00:00:00+00,0.531468705895383,0.00854996996380334
222,3251,3251,0,522,929,2,16,2021/01/30 00:00:00+00,1.03759646579429,0.0300171110007147
223,3254,3254,0,310,920,2,12,2021/01/30 00:00:00+00,0.233844722688984,0.00181581570926981
224,3260,3260,0,4766,953,3,25,2021/01/30 00:00:00+00,2.27842328324914,0.113912346355858
225,3264,3264,0,2288,923,2,13,2021/01/30 00:00:00+00,0.686304001510354,0.0122841087433509
226,3265,3265,0,2621,1013,7,62,2021/01/30 00:00:00+00,3.16861505101698,0.0921950544000907
227,3266,3266,0,3067,953,3,26,2021/01/30 00:00:00+00,1.85848680929215,0.0586033797243597
228,3267,3267,0,248,990,5,47,2021/01/30 00:00:00+00,0.648014425525921,0.0096504522955507
229,3268,3268,0,2607,993,5,48,2021/01/30 00:00:00+00,1.92959933032864,0.0604497504401944
230,3269,3269,0,730,1022,7,67,2021/01/30 00:00:00+00,1.12443112414943,0.0208100596733694
231,3270,3270,0,247,1019,7,65,2021/01/30 00:00:00+00,0.441532661243416,0.00414858521588198
232,3271,3271,0,196,1035,8,73,2021/01/30 00:00:00+00,1.73590777617078,0.044735273586564
233,3272,3272,0,1539,930,2,16,2021/01/30 00:00:00+00,2.00980519316391,0.0690849435594477
234,3273,3273,0,143,1036,8,73,2021/01/30 00:00:00+00,1.01109820390946,0.0229295118577136
235,3274,3274,0,246,1034,8,73,2021/01/30 00:00:00+00,0.952990812522665,0.028349787837453
236,3275,3275,0,425,1004,6,56,2021/01/30 00:00:00+00,0.229286715302383,0.00166035562961745
237,3276,3276,0,482,985,5,44,2021/01/30 00:00:00+00,1.12184755884357,0.0344126129715569
238,3277,3277,0,1926,997,6,51,2021/01/30 00:00:00+00,0.960159884975732,0.0218559757171727
239,3278,3278,0,313,1002,6,55,2021/01/30 00:00:00+00,0.582165985969835,0.00628770832683833
240,3279,3279,0,290,1003,6,55,2021/01/30 00:00:00+00,0.949982946195263,0.012963088657271
241,3280,3280,0,31569,957,3,28,2021/01/30 00:00:00+00,0.482294212078496,0.00799241265345571
242,3281,3281,0,1699,1048,8,77,2021/01/30 00:00:00+00,0.86064131514774,0.0164899308488125
243,3282,3282,0,2362,974,4,37,2021/01/30 00:00:00+00,0.572657393921058,0.00645797141641754
244,3283,3283,0,1361,1022,7,67,2021/01/30 00:00:00+00,1.55361103282462,0.039408078877245
245,3284,3284,0,3439,1007,6,59,2021/01/30 00:00:00+00,1.32602842520929,0.02279927429491
246,3285,3285,0,1207,1010,7,61,2021/01/30 00:00:00+00,1.93289426898367,0.0423289573199668
247,3286,3286,0,566,967,4,34,2021/01/30 00:00:00+00,1.21849039286149,0.0399427464830719
248,3287,3287,0,433,1007,6,59,2021/01/30 00:00:00+00,1.19379301138728,0.0339271488946763
249,3289,3289,0,756,984,5,43,2021/01/30 00:00:00+00,1.54616484834767,0.0581048084574857
250,3292,3292,0,190,992,5,48,2021/01/30 00:00:00+00,0.854659023278686,0.0231173970893307
251,3293,3293,0,301,969,4,35,2021/01/30 00:00:00+00,1.40008492124253,0.0493167216509196
252,3294,3294,0,959,1035,8,73,2021/01/30 00:00:00+00,2.08224615146187,0.0950308353381101
253,3300,3300,0,10088,950,3,23,2021/01/30 00:00:00+00,1.04320854230173,0.033002412165843
254,3301,3301,0,1211,1045,8,76,2021/01/30 00:00:00+00,4.14026100913942,0.100155163359868
255,3302,3302,0,371,990,5,47,2021/01/30 00:00:00+00,1.27613329877354,0.0434687584652693
256,3303,3303,0,336,954,3,26,2021/01/30 00:00:00+00,1.74524246039964,0.049553945480693
257,3304,3304,0,2725,911,1,9,2021/01/30 00:00:00+00,3.8561513794457,0.20324365187645
258,3305,3305,0,12816,921,2,12,2021/01/30 00:00:00+00,1.98255863060154,0.0825215037276308
259,3309,3309,0,124,955,3,27,2021/01/30 00:00:00+00,0.547480901303697,0.0116301186495235
260,3310,3310,0,276,929,2,15,2021/01/30 00:00:00+00,0.684364821792304,0.0125927378189804
261,3311,3311,0,1696,900,1,6,2021/01/30 00:00:00+00,1.33313919909723,0.0378534414024006
262,3312,3312,0,1031,999,6,53,2021/01/30 00:00:00+00,5.08806609356578,0.303257291347164
263,3314,3314,0,525,1043,8,76,2021/01/30 00:00:00+00,3.02084217019031,0.142355313649764
264,3315,3315,0,1624,952,3,24,2021/01/30 00:00:00+00,3.02870364892159,0.134923184220981
265,3317,3317,0,200,990,5,47,2021/01/30 00:00:00+00,1.22368985907856,0.0389044192598726
266,3318,3318,0,1267,958,3,28,2021/01/30 00:00:00+00,3.04824692490793,0.132033431145698
